PERIODID,NSW,QLD,SA,TAS,VIC,,,,,,
18,28.26,,,,,,,,,,
19,22.77,,,,,,,,,,
20,17.08,,,,,,,,,,
21,3.04,,,,,,,,,,
22,-2.32,,,,,,,,,,
23,-6.75,,,,,,,,,,
24,-3.94,,,,,,,,,,
25,-6.09,,,,,,,,,,
26,-9.81,,,,,,,,,,
27,-8.96,,,,,,,,,,
28,-9.85,,,,,,,,,,
29,-4.96,,,,,,,,,,
30,5.69,,,,,,,,,,
31,18.68,,,,,,,,,,
32,45.55,,,,,,,,,,
33,85.06,,,,,,,,,,
34,102.27,,,,,,,,,,
35,99.27,,,,,,,,,,
36,125.53,,,,,,,,,,
37,106.55,,,,,,,,,,
38,80.07,,,,,,,,,,
39,63.64,,,,,,,,,,
40,63.72,,,,,,,,,,
41,65.07,,,,,,,,,,
42,56.16,,,,,,,,,,
43,45.19,,,,,,,,,,
44,38.63,,,,,,,,,,
45,33.43,,,,,,,,,,
46,23.84,,,,,,,,,,
47,30.46,,,,,,,,,,
48,28.19,,,,,,,,,,
